endTime,artistName,trackName,msPlayed
2021-08-22 17:15,The Kid LAROI,STAY (with Justin Bieber),141805
2021-08-22 17:19,Sia,"Genius (feat. Sia, Diplo, and Labrinth)",213706
2021-08-22 17:23,6LACK,One Way (feat. T-Pain) - Bonus,241546
2021-08-22 17:26,Rihanna,Needed Me,191600
2021-08-22 17:29,Taylor Swift,Back To December,938
2021-08-22 17:29,Julia Michaels,17,179547
2021-08-22 17:32,Jesse & Joy,Espacio sideral,129194
2021-08-22 17:35,Noah Kahan,False Confidence,143829
2021-08-22 17:37,Valley,You,147605
2021-08-22 17:37,RL Grime,UCLA,8362
2021-08-22 17:41,Ariana Grande,Break Free,214840
2021-08-22 17:43,Lauv,Fake,146375
2021-08-22 17:45,LANY,"never mind, let's break up",69528
2021-08-22 17:48,Iyaz,Replay,182306
2021-08-22 17:49,Smash Mouth,All Star,61562
2021-08-22 17:52,Adam Friedman,What If,225876
2021-08-22 17:57,The Band CAMINO,Daphne Blue - Acoustic,190144
2021-08-22 18:00,Cheat Codes,Feels Great (feat. Fetty Wap & CVBZ),193568
2021-08-22 18:03,Gloria Trevi,Cinco Minutos,207800
2021-08-22 18:06,Olivia Rodrigo,good 4 u,178146
2021-08-22 18:07,LAEL,Dark,6529
2021-08-22 18:07,AllttA,I Got One (fg. VIII) - Instrumental,24125
2021-08-22 18:10,Ken Loi,Hurricanes,189090
2021-08-22 18:13,OSTON,last time,193124
2021-08-22 18:17,NF,Time - Edit,230610
2021-08-22 18:20,Jenna Wright,Feels Like Home,169643
2021-08-22 18:21,Camila Cabello,Never Be the Same,54420
2021-08-22 18:25,Taylor Swift,Wildest Dreams,220440
2021-08-22 18:26,Ludacris,How Low,74185
2021-08-22 20:12,Ludacris,How Low,1207
2021-08-22 20:12,See Siang Wong,River Flows in You,17368
2021-08-22 20:17,Gorillaz,On Melancholy Hill,233866
2021-08-22 20:21,Addison Grace,Sugar Rush,246341
2021-08-22 20:24,The Fixx,One Thing Leads To Another,199826
2021-08-22 20:28,The Chainsmokers,Closer,244960
2021-08-22 20:32,Dayglow,Close To You,194693
2021-08-22 20:35,Dayglow,Hot Rod,204014
2021-08-22 20:38,Leon Bridges,If It Feels Good (Then It Must Be),194826
2021-08-22 20:42,Marianas Trench,Who Do You Love,232099
2021-08-22 20:43,The Naked And Famous,Bury Us,63656
2021-08-22 21:19,The Naked And Famous,Bury Us,125961
2021-08-22 21:20,Kanye West,Lift Yourself,20149
2021-08-22 21:23,BØRNS,Electric Love,218106
2021-08-22 21:26,Tim Maia,Do Leme Ao Pontal,151240
2021-08-22 23:46,Bruno Mars,Just the Way You Are,255052
2021-08-22 23:46,Bonnie Tyler,"Holding Out for a Hero - From ""Footloose"" Soundtrack",4580
2021-08-22 23:52,Post Malone,Circles,189916
2021-08-23 00:00,Capital Cities,Safe And Sound,192789
2021-08-23 00:25,Gotye,Somebody That I Used To Know,149087
2021-08-23 00:25,Destiny's Child,Say My Name,1114
2021-08-23 00:25,Florence + The Machine,You've Got The Love,11749
2021-08-23 00:25,Florence + The Machine,You've Got The Love,1841
2021-08-23 00:26,Stevie Wonder,I Wish,1114
2021-08-23 00:26,Jessi,What Type of X,0
2021-08-23 00:26,Kali Uchis,telepatía,92
2021-08-23 00:26,Billy Joel,Uptown Girl,952
2021-08-23 00:26,Kygo,Remind Me to Forget,116
2021-08-23 00:26,Portugal. The Man,Feel It Still,952
2021-08-23 00:26,Backstreet Boys,Everybody (Backstreet's Back) - Radio Edit,1671
2021-08-23 00:26,BTS,Life Goes On,882
2021-08-23 00:26,Lady Gaga,911,789
2021-08-23 00:26,half•alive,still feel.,1091
2021-08-23 00:26,TOMORROW X TOGETHER,9 and Three Quarters - Run Away,0
2021-08-23 00:26,Redbone,Come and Get Your Love - Single Version,139
2021-08-23 00:26,Eric Nam,Come Through,1973
2021-08-23 00:26,Whitney Houston,I'm Every Woman,0
2021-08-23 00:26,Boney M.,Rasputin,882
2021-08-23 00:26,Bonnie Tyler,"Holding Out for a Hero - From ""Footloose"" Soundtrack",928
2021-08-23 00:26,Taylor Swift,marjorie,6826
2021-08-23 00:26,Clairo,Flaming Hot Cheetos,1207
2021-08-23 00:30,We Three,i wanna love somebody,233616
2021-08-23 00:34,Taylor Swift,marjorie,257773
2021-08-23 00:38,Life of Dillon,Surrender,225210
2021-08-23 00:42,Taylor Swift,my tears ricochet,255893
2021-08-23 00:45,Rynn,When You Lock Eyes,142950
2021-08-23 01:43,Taylor Swift,You Need To Calm Down,171360
2021-08-23 01:46,LANY,if this is the last time,203853
2021-08-23 01:46,Lyn Lapid,Producer Man,10588
2021-08-23 01:46,Liyv,Stay up with Me,3181
2021-08-23 01:50,The Weeknd,Reminder - Remix,221968
2021-08-23 01:51,The Chainsmokers,Who Do You Love - R3HAB Remix,35412
2021-08-23 01:53,Dillon Davis,Friends With Feelings,145426
2021-08-23 01:57,We Three,i wanna love somebody,233616
2021-08-23 02:00,Matt Hall,Anxious,191194
2021-08-23 02:03,HRVY,ME BECAUSE OF YOU,13037
2021-08-23 02:03,Valley,nevermind,176421
2021-08-23 12:23,We Three,i wanna love somebody,233616
2021-08-23 12:26,Tones And I,Dance Monkey,159526
2021-08-23 12:29,The 1975,Intro / Set3,187973
2021-08-23 12:33,Miley Cyrus,We Can't Stop,231240
2021-08-23 12:36,The Seige,Bad 2 the Bone,153546
2021-08-23 12:38,gnash,imagine if,135765
2021-08-23 12:42,William Hinson,Sex,220444
2021-08-23 12:45,The Chicks,Easy Silence,197295
2021-08-23 12:46,Prince Woods,I'll Wait For You,35583
2021-08-23 12:48,The Kid LAROI,STAY (with Justin Bieber),141805
2021-08-23 12:48,Luke O'Brien,Yesterday I Was 22,6707
2021-08-23 12:51,Carling,Catching Feelings,173397
2021-08-23 12:53,Zedd,Stay,99733
2021-08-23 12:56,The Chainsmokers,Don't Let Me Down,208373
2021-08-23 13:00,Marc Anthony,Vivir Mi Vida,24861
2021-08-23 13:00,DJ Shadow,Nobody Speak,768
2021-08-23 13:00,Taylor Swift,You Belong With Me,5717
2021-08-23 13:00,AJR,I'm Ready,227311
2021-08-23 13:00,Taylor Swift,betty - Live from the 2020 Academy of Country Music Awards,917
2021-08-23 13:06,Taylor Swift,betty - Live from the 2020 Academy of Country Music Awards,312138
2021-08-23 13:07,DJ Shadow,Nobody Speak,90774
2021-08-23 13:07,Bad Bunny,Yonaguni,1088
2021-08-23 13:09,Scott Helman,Ripple Effect - Herag Sanbalian Remix,137088
2021-08-23 13:10,LANY,up to me,47978
2021-08-23 13:14,Olivia Rodrigo,deja vu,215506
