Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Austin, TX, United States",08/22/2021,95.6,73.8,84.4,,101.8,0,0,0,9.2,158.7,20.8,9.9,27.9,66.39,Partially cloudy
"Austin, TX, United States",08/23/2021,95.4,73.1,84.4,,99.1,0,0,0,9.4,150.41,21.9,9.9,11.5,64.04,Clear
"Austin, TX, United States",08/24/2021,97,75.6,85.7,,101.6,0,0,0,8.1,164,19.7,9.9,14.8,61.94,Clear
"Austin, TX, United States",08/25/2021,95.9,76.4,86.3,,100.4,0,0,0,6.9,121.5,17.2,9.9,10.4,60.92,Clear
"Austin, TX, United States",08/26/2021,98.2,78.6,86,,104.9,0,0,0,9.7,126.78,27.7,9.9,32.5,61.89,Partially cloudy
"Austin, TX, United States",08/27/2021,88.6,75.4,80.8,,96.6,0.03,0,0,9.6,70.63,,9.7,42.1,75.94,"Rain, Partially cloudy"
"Austin, TX, United States",08/28/2021,92.5,74.4,82,,97.5,0.15,0,0,10.9,50.04,18.3,9.9,37.8,72.35,"Rain, Partially cloudy"
"Austin, TX, United States",08/29/2021,93.1,74.9,82.8,,98.6,0,0,0,12.8,71.87,,9.8,50.3,70.68,Partially cloudy
"Austin, TX, United States",08/30/2021,92.9,75.4,84.2,,99.8,0,0,0,9.1,94.83,,9.9,40.6,67.94,Partially cloudy
"Austin, TX, United States",08/31/2021,98.3,74.9,86.6,,103,0,0,0,9.2,80.38,,9.9,9.8,60.79,Clear
"Austin, TX, United States",09/01/2021,97.7,77.2,86.6,,104,0,0,0,9.7,155.67,21.9,8.4,25.2,65.49,Partially cloudy
"Austin, TX, United States",09/02/2021,97.1,78.1,86.2,,101.9,0,0,0,11.1,115.25,26.4,9.3,29.9,66.77,Partially cloudy
"Austin, TX, United States",09/03/2021,98,77.1,85.5,,102.2,0,0,0,11.7,111.65,25.3,9.9,32.9,65.68,Partially cloudy
"Austin, TX, United States",09/04/2021,97.8,75.9,85.9,,101,0,0,0,11.4,155.38,21.9,9.7,14.3,61.34,Clear
"Austin, TX, United States",09/05/2021,100.9,73.7,86.6,,102.9,0,0,0,12.8,156.77,34.2,9.8,16.6,55.56,Clear
"Austin, TX, United States",09/06/2021,97.1,74.7,82.9,,103,0.11,0,0,8.3,158.54,34,9.9,30.4,62.17,"Rain, Partially cloudy"
"Austin, TX, United States",09/07/2021,95.4,71.7,82.5,,97.4,0,0,0,10.3,104.33,,9.9,21.8,63.47,Clear
"Austin, TX, United States",09/08/2021,99.6,69.4,83.4,,98.1,0,0,0,10.3,79.54,24.2,9.9,8.5,48.19,Clear
